# ----------------------------------------
# 购买历程: 设备类别
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260316
# 结束日期：20260322
设备类别,会话开始 活跃用户,查看产品 活跃用户,加入购物车 活跃用户,开始结账 活跃用户,购买 活跃用户
mobile,127,55,0,0,0
desktop,21,9,1,1,0
tablet,7,5,0,0,0
