日期,点击次数,展示,点击率,排名
2026-04-20,90,1076,8.36%,5.8
2026-04-21,104,1009,10.31%,4.9
2026-04-22,99,777,12.74%,5.7
2026-04-23,94,780,12.05%,6
2026-04-24,85,777,10.94%,6.2
2026-04-25,98,843,11.63%,6.5
2026-04-26,113,795,14.21%,5.5
