日期,点击次数,展示,点击率,排名
2026-06-15,14,493,2.84%,23.4
2026-06-16,15,561,2.67%,25.3
2026-06-17,17,536,3.17%,23.6
2026-06-18,18,503,3.58%,26
2026-06-19,18,438,4.11%,27.4
2026-06-20,24,555,4.32%,28.6
2026-06-21,16,440,3.64%,23.9
