日期,点击次数,展示,点击率,排名
2026-06-29,35,687,5.09%,11.7
2026-06-30,54,705,7.66%,8.7
2026-07-01,63,687,9.17%,12
2026-07-02,62,730,8.49%,9.5
2026-07-03,57,697,8.18%,10.1
2026-07-04,53,639,8.29%,11.6
2026-07-05,70,701,9.99%,9.4
