日期,点击次数,展示,点击率,排名
2026-06-08,75,1191,6.3%,12.2
2026-06-09,69,1236,5.58%,9.8
2026-06-10,66,1119,5.9%,11.6
2026-06-11,74,1016,7.28%,11.4
2026-06-12,72,1068,6.74%,10.3
2026-06-13,75,1109,6.76%,9.8
2026-06-14,58,680,8.53%,10.4
