# ----------------------------------------
# 购买历程: 设备类别
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260406
# 结束日期：20260412
设备类别,会话开始 活跃用户,查看产品 活跃用户,加入购物车 活跃用户,开始结账 活跃用户,购买 活跃用户
mobile,420,146,2,0,0
desktop,57,13,0,0,0
tablet,9,4,0,0,0
smart tv,1,0,0,0,0
