"登陆页面类型","登陆页面路径","在线商店访客","访问","有商品添加到购物车的访问","到达结账页面的访问","完成结账的访问","转化率","页面浏览量","结账转化率","添加至购物车率","到达结账页面率","到达并完成结账的访问","平均访问持续时间","每次访问的页面浏览量","跳出率","完成结账率","跳出次数","Online store visitors (previous_week)","Sessions (previous_week)","Sessions with cart additions (previous_week)","Sessions that reached checkout (previous_week)","Sessions that completed checkout (previous_week)","Conversion rate (previous_week)","Pageviews (previous_week)","Checkout conversion rate (previous_week)","Added to cart rate (previous_week)","Reached checkout rate (previous_week)","Sessions that reached and completed checkout (previous_week)","Average session duration (previous_week)","Pageviews per session (previous_week)","Bounce rate (previous_week)","Completed checkout rate (previous_week)","Bounces (previous_week)","Online store visitors (previous_week) ","Sessions (previous_week) ","Sessions with cart additions (previous_week) ","Sessions that reached checkout (previous_week) ","Sessions that completed checkout (previous_week) ","Conversion rate (previous_week) ","Pageviews (previous_week) ","Checkout conversion rate (previous_week) ","Added to cart rate (previous_week) ","Reached checkout rate (previous_week) ","Sessions that reached and completed checkout (previous_week) ","Average session duration (previous_week) ","Pageviews per session (previous_week) ","Bounce rate (previous_week) ","Completed checkout rate (previous_week) ","Bounces (previous_week) "
"Collection","/collections/shemale-sex-doll-torso-1",427,434,8,3,0,0,1471,0,0.018433179723502304,0.0069124423963133645,0,156.19124423963135,3.389400921658986,0.46543778801843316,0,202,381,398,2,0,0,0,1260,,0.005025125628140704,0,0,148.53015075376885,3.1658291457286434,0.4748743718592965,,189,12.073490813648293,9.045226130653266,300,,,,16.746031746031747,,266.82027649769583,,,5.157938268414569,7.062029112720353,-1.98717479823471,,6.878306878306878
"Collection","/collections/celebrity-sex-dolls",409,415,1,0,0,0,1595,,0.0024096385542168677,0,0,172.2722891566265,3.8433734939759034,0.4433734939759036,,184,405,416,2,1,0,0,1785,0,0.004807692307692308,0.002403846153846154,0,192.16826923076923,4.290865384615385,0.4206730769230769,0,175,0.9876543209876543,-0.2403846153846154,-50,-100,,,-10.644257703081232,,-49.87951807228916,-100,,-10.353415865056384,-10.428942661401923,5.396213425129081,,5.142857142857143
"Collection","/collections/furry-sex-doll",386,392,0,0,0,0,1028,,0,0,0,102.33673469387755,2.622448979591837,0.6020408163265306,,236,254,257,0,0,0,0,648,,0,0,0,121.42023346303502,2.5214007782101167,0.5719844357976653,,147,51.968503937007874,52.52918287937743,,,,,58.641975308641975,,,,,-15.716901726240893,4.007621567145385,5.2547549632097805,,60.54421768707483
"Blog Article","/blogs/featured-blog/how-to-make-fake-pussy",384,386,0,0,0,0,453,,0,0,0,14.300518134715025,1.1735751295336787,0.9145077720207254,,353,167,172,0,0,0,0,210,,0,0,0,14.168604651162791,1.2209302325581395,0.9011627906976745,,155,129.94011976047904,124.4186046511628,,,,,115.71428571428571,,,,,0.931026638119992,-3.8786084381939303,1.4808624435901703,,127.74193548387096
"Collection","/collections/femboys-sex-doll",373,378,0,0,0,0,1315,,0,0,0,141.26190476190476,3.4788359788359786,0.4021164021164021,,152,367,373,1,0,0,0,1184,,0.002680965147453083,0,0,99.51474530831099,3.1742627345844503,0.4932975871313673,,184,1.6348773841961852,1.3404825737265416,-100,,,,11.06418918918919,,-100,,,41.95072732614153,9.595086157586154,-18.484011962272838,,-17.391304347826086
"Collection","/collections/black-sex-dolls",247,260,1,0,0,0,948,,0.0038461538461538464,0,0,178.31153846153848,3.646153846153846,0.46153846153846156,,120,151,161,2,0,0,0,609,,0.012422360248447204,0,0,169.67701863354037,3.782608695652174,0.40993788819875776,,66,63.57615894039735,61.49068322981366,-50,,,,55.66502463054187,,-69.03846153846153,,,5.088797467998004,-3.6074270557029178,12.587412587412594,,81.81818181818181
"Collection","/collections/boob-job-sex-toys",230,235,2,0,0,0,612,,0.00851063829787234,0,0,109.32765957446809,2.6042553191489364,0.5872340425531914,,138,183,185,1,0,0,0,479,,0.005405405405405406,0,0,111.87567567567568,2.5891891891891894,0.5567567567567567,,103,25.683060109289617,27.027027027027028,100,,,,27.76617954070981,,57.44680851063829,,,-2.277542536229429,0.5818860214098523,5.474075604214002,,33.980582524271846
"Collection","/collections/18s-sex-doll",226,229,1,0,0,0,488,,0.004366812227074236,0,0,104.60698689956332,2.131004366812227,0.6419213973799127,,147,35,35,0,0,0,0,85,,0,0,0,91.11428571428571,2.4285714285714284,0.6571428571428571,,23,545.7142857142857,554.2857142857143,,,,,474.11764705882354,,,,,14.808546299301234,-12.252761366555346,-2.3163090943611078,,539.1304347826087
"Collection","/collections/sex-doll-torso-dildo-for-woman",214,224,2,1,0,0,806,0,0.008928571428571428,0.004464285714285714,0,143.32142857142858,3.5982142857142856,0.46875,0,105,159,165,1,1,0,0,511,0,0.006060606060606061,0.006060606060606061,0,144.66666666666666,3.096969696969697,0.44242424242424244,0,73,34.59119496855346,35.75757575757576,100,0,,,57.72994129158513,,47.32142857142857,-26.33928571428572,,-0.9298880842659495,16.18500139781939,5.950342465753421,,43.83561643835616
"Blog Article","/blogs/dolls-info-qustions/how-to-make-a-fake-ass-sex-toy",221,223,0,0,0,0,302,,0,0,0,62.25112107623318,1.3542600896860986,0.8340807174887892,,186,187,190,0,0,0,0,255,,0,0,0,51.76315789473684,1.3421052631578947,0.7842105263157895,,149,18.181818181818183,17.36842105263158,,,,,18.431372549019606,,,,,20.261443868676206,0.9056537413171516,6.359286122731509,,24.83221476510067
