# ----------------------------------------
# 网页和屏幕: 网页路径和屏幕类
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260301
# 结束日期：20260331
网页路径和屏幕类,浏览次数,活跃用户,每位活跃用户的浏览量,每位活跃用户的平均互动时长,事件数,关键事件数,总收入
/collections/wm-doll,776,142,5.464788732394366,78.33098591549296,1661,218,0
/collections/torso-only,774,203,3.812807881773399,52.241379310344826,1911,268,0
/collections/vibrating-sex-doll-torso,773,314,2.461783439490446,39.745222929936304,2534,321,0
/collections/loli-sex-dolls,754,261,2.888888888888889,48.076628352490424,1935,247,0
/collections/anime-pocket-pussy,727,267,2.7228464419475658,31.835205992509362,2256,217,0
/collections/life-size-anime-sex-doll,718,186,3.860215053763441,54.86021505376344,1954,279,0
/collections/chinese-sex-doll,716,269,2.6617100371747213,42.29368029739777,2223,246,0
/collections/asia-sex-doll-heads-1,705,164,4.298780487804878,51.75,1493,154,0
/collections/shemale-sex-doll,705,318,2.2169811320754715,35.959119496855344,2235,298,0
/collections/silicone-pocket-pussy,705,354,1.9915254237288136,30.635593220338983,2340,182,0
/collections/petite-sex-doll,700,241,2.904564315352697,44.29460580912863,2135,249,0
/collections/mini-sex-doll-torso,697,274,2.5437956204379564,38.62043795620438,2081,185,0
/collections/mini-flat-chest-sex-doll,685,299,2.290969899665552,31.588628762541806,2149,156,0
/collections/silicone-sex-doll-heads,669,182,3.6758241758241756,60.510989010989015,1495,208,0
/collections/pocket-pussy-ass,658,286,2.300699300699301,34.62237762237762,2027,231,0
/collections/300-600,646,148,4.364864864864865,64.3445945945946,1528,166,0
/collections/100-199,640,120,5.333333333333333,77.61666666666666,1325,137,0
/blogs/dolls-info-qustions/how-to-make-a-fake-ass-sex-toy,636,605,1.0512396694214876,42.147107438016526,3636,75,0
/collections/anime-hentai-sex-doll,624,184,3.391304347826087,46.07608695652174,1759,237,0
/collections/anime-cosplay-sex-doll,615,188,3.271276595744681,43.3563829787234,1599,196,0
/collections/anime-sex-doll-heads,613,194,3.1597938144329896,39.94845360824742,1451,145,0
/collections/bezlya,604,167,3.6167664670658684,56.01197604790419,1923,351,0
/collections/huge-tits-sex-doll,592,180,3.2888888888888888,52.794444444444444,2025,305,0
/collections/japanese-sex-doll,580,135,4.296296296296297,81.37777777777778,1383,157,0
/collections/sex-doll-legs,577,240,2.404166666666667,49.5125,1777,290,0
/collections/milf-sex-dolls,574,161,3.5652173913043477,55.93167701863354,1500,209,0
/collections/sy-doll,574,123,4.666666666666667,71.64227642276423,1355,191,0
/collections/elsa-babe,561,75,7.48,108.36,1121,128,0
/collections/ros-sex-doll,560,152,3.6842105263157894,79.67105263157895,1456,248,0
/collections/gaming-celebrities,537,185,2.902702702702703,41.383783783783784,1480,222,0
/en-ca/collections/full-doll,534,256,2.0859375,29.01953125,1844,312,0
/collections/lesbian-sex-doll-torso,532,245,2.1714285714285713,34.10204081632653,1762,109,0
