"登陆页面类型","登陆页面路径","在线商店访客","访问","有商品添加到购物车的访问","到达结账页面的访问","完成结账的访问","转化率","页面浏览量","结账转化率","添加至购物车率","到达结账页面率","到达并完成结账的访问","平均访问持续时间","每次访问的页面浏览量","跳出率","完成结账率","跳出次数","Online store visitors (20260525)","Sessions (20260525)","Sessions with cart additions (20260525)","Sessions that reached checkout (20260525)","Sessions that completed checkout (20260525)","Conversion rate (20260525)","Pageviews (20260525)","Checkout conversion rate (20260525)","Added to cart rate (20260525)","Reached checkout rate (20260525)","Sessions that reached and completed checkout (20260525)","Average session duration (20260525)","Pageviews per session (20260525)","Bounce rate (20260525)","Completed checkout rate (20260525)","Bounces (20260525)","Online store visitors (20260525) ","Sessions (20260525) ","Sessions with cart additions (20260525) ","Sessions that reached checkout (20260525) ","Sessions that completed checkout (20260525) ","Conversion rate (20260525) ","Pageviews (20260525) ","Checkout conversion rate (20260525) ","Added to cart rate (20260525) ","Reached checkout rate (20260525) ","Sessions that reached and completed checkout (20260525) ","Average session duration (20260525) ","Pageviews per session (20260525) ","Bounce rate (20260525) ","Completed checkout rate (20260525) ","Bounces (20260525) "
"Collection","/collections/sex-doll-torso-dildo-for-woman",343,362,2,0,0,0,1359,,0.0055248618784530384,0,0,176.3232044198895,3.75414364640884,0.4558011049723757,,165,343,362,2,0,0,0,1359,,0.0055248618784530384,0,0,176.3232044198895,3.75414364640884,0.4558011049723757,,165,0,0,0,,,,0,,0,,,0,0,0,,0
"Collection","/collections/shemale-sex-doll-torso-1",353,358,5,2,0,0,1146,0,0.013966480446927373,0.00558659217877095,0,133.0782122905028,3.201117318435754,0.49162011173184356,0,176,353,358,5,2,0,0,1146,0,0.013966480446927373,0.00558659217877095,0,133.0782122905028,3.201117318435754,0.49162011173184356,0,176,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/furry-sex-doll",322,334,0,0,0,0,747,,0,0,0,92.2814371257485,2.2365269461077846,0.6616766467065869,,221,322,334,0,0,0,0,747,,0,0,0,92.2814371257485,2.2365269461077846,0.6616766467065869,,221,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/black-sex-dolls",297,314,4,0,0,0,1184,,0.012738853503184714,0,0,187.4235668789809,3.770700636942675,0.48089171974522293,,151,297,314,4,0,0,0,1184,,0.012738853503184714,0,0,187.4235668789809,3.770700636942675,0.48089171974522293,,151,0,0,0,,,,0,,0,,,0,0,0,,0
"Collection","/collections/fake-pussy-fake-vagina-sex-toys",230,239,5,3,0,0,814,0,0.02092050209205021,0.012552301255230125,0,110.1673640167364,3.405857740585774,0.497907949790795,0,119,230,239,5,3,0,0,814,0,0.02092050209205021,0.012552301255230125,0,110.1673640167364,3.405857740585774,0.497907949790795,0,119,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Blog Article","/blogs/dolls-info-qustions/how-to-make-a-fake-ass-sex-toy",231,233,0,0,0,0,302,,0,0,0,33.287553648068666,1.296137339055794,0.8841201716738197,,206,231,233,0,0,0,0,302,,0,0,0,33.287553648068666,1.296137339055794,0.8841201716738197,,206,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/sex-doll-torso",228,232,3,0,0,0,1121,,0.01293103448275862,0,0,269.62931034482756,4.831896551724138,0.3448275862068966,,80,228,232,3,0,0,0,1121,,0.01293103448275862,0,0,269.62931034482756,4.831896551724138,0.3448275862068966,,80,0,0,0,,,,0,,0,,,0,0,0,,0
"Collection","/collections/boob-job-sex-toys",223,227,4,3,0,0,684,0,0.01762114537444934,0.013215859030837005,0,115.3215859030837,3.013215859030837,0.6167400881057269,0,140,223,227,4,3,0,0,684,0,0.01762114537444934,0.013215859030837005,0,115.3215859030837,3.013215859030837,0.6167400881057269,0,140,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/huge-breasts-sex-dolls",185,192,2,0,0,0,687,,0.010416666666666666,0,0,141.140625,3.578125,0.4166666666666667,,80,185,192,2,0,0,0,687,,0.010416666666666666,0,0,141.140625,3.578125,0.4166666666666667,,80,0,0,0,,,,0,,0,,,0,0,0,,0
"Collection","/collections/futa-sex-doll",183,190,0,0,0,0,621,,0,0,0,161.16842105263157,3.268421052631579,0.4842105263157895,,92,183,190,0,0,0,0,621,,0,0,0,161.16842105263157,3.268421052631579,0.4842105263157895,,92,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/flat-chest-sex-doll",180,184,1,0,0,0,833,,0.005434782608695652,0,0,230.04891304347825,4.5271739130434785,0.483695652173913,,89,180,184,1,0,0,0,833,,0.005434782608695652,0,0,230.04891304347825,4.5271739130434785,0.483695652173913,,89,0,0,0,,,,0,,0,,,0,0,0,,0
"Collection","/collections/shemale-sex-toy",174,176,0,0,0,0,371,,0,0,0,82.96022727272727,2.1079545454545454,0.7272727272727273,,128,174,176,0,0,0,0,371,,0,0,0,82.96022727272727,2.1079545454545454,0.7272727272727273,,128,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/under-100",167,175,2,0,0,0,495,,0.011428571428571429,0,0,115.84571428571428,2.8285714285714287,0.5828571428571429,,102,167,175,2,0,0,0,495,,0.011428571428571429,0,0,115.84571428571428,2.8285714285714287,0.5828571428571429,,102,0,0,0,,,,0,,0,,,0,0,0,,0
"Collection","/collections/anime-pocket-pussy",157,159,1,0,0,0,371,,0.006289308176100629,0,0,70.57232704402516,2.3333333333333335,0.5974842767295597,,95,157,159,1,0,0,0,371,,0.006289308176100629,0,0,70.57232704402516,2.3333333333333335,0.5974842767295597,,95,0,0,0,,,,0,,0,,,0,0,0,,0
"Collection","/collections/black-torso-sex-dolls",136,138,1,1,1,0.007246376811594203,307,1,0.007246376811594203,0.007246376811594203,1,110.31159420289855,2.2246376811594204,0.5869565217391305,1,81,136,138,1,1,1,0.007246376811594203,307,1,0.007246376811594203,0.007246376811594203,1,110.31159420289855,2.2246376811594204,0.5869565217391305,1,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"/de/collections/robotic-sex-doll",133,137,1,0,0,0,375,,0.0072992700729927005,0,0,83.75182481751825,2.7372262773722627,0.5547445255474452,,76,133,137,1,0,0,0,375,,0.0072992700729927005,0,0,83.75182481751825,2.7372262773722627,0.5547445255474452,,76,0,0,0,,,,0,,0,,,0,0,0,,0
"Collection","/collections/vibrating-sex-doll-torso",115,121,0,0,0,0,373,,0,0,0,126.6694214876033,3.0826446280991737,0.5785123966942148,,70,115,121,0,0,0,0,373,,0,0,0,126.6694214876033,3.0826446280991737,0.5785123966942148,,70,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/silicone-ass",109,119,2,0,0,0,365,,0.01680672268907563,0,0,132.53781512605042,3.0672268907563027,0.6218487394957983,,74,109,119,2,0,0,0,365,,0.01680672268907563,0,0,132.53781512605042,3.0672268907563027,0.6218487394957983,,74,0,0,0,,,,0,,0,,,0,0,0,,0
"Custom Page","/pages/sex-doll-gif",107,109,0,0,0,0,173,,0,0,0,21.05504587155963,1.5871559633027523,0.7431192660550459,,81,107,109,0,0,0,0,173,,0,0,0,21.05504587155963,1.5871559633027523,0.7431192660550459,,81,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/asian-sex-doll",101,101,0,0,0,0,205,,0,0,0,41.68316831683168,2.0297029702970297,0.6336633663366337,,64,101,101,0,0,0,0,205,,0,0,0,41.68316831683168,2.0297029702970297,0.6336633663366337,,64,0,0,,,,,0,,,,,0,0,0,,0
"Product","/products/599-83lb-sex-doll-torso-with-realistic-oversized-ass",98,101,0,0,0,0,336,,0,0,0,141.63366336633663,3.3267326732673266,0.7128712871287128,,72,98,101,0,0,0,0,336,,0,0,0,141.63366336633663,3.3267326732673266,0.7128712871287128,,72,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/lesbian-sex-doll-torso",88,90,0,0,0,0,163,,0,0,0,68.23333333333333,1.8111111111111111,0.7,,63,88,90,0,0,0,0,163,,0,0,0,68.23333333333333,1.8111111111111111,0.7,,63,0,0,,,,,0,,,,,0,0,0,,0
"Blog Article","/blogs/sex-doll-torso-blog/top-7-sex-poses-with-your-torso-sex-doll",87,87,0,0,0,0,117,,0,0,0,49.71264367816092,1.3448275862068966,0.8390804597701149,,73,87,87,0,0,0,0,117,,0,0,0,49.71264367816092,1.3448275862068966,0.8390804597701149,,73,0,0,,,,,0,,,,,0,0,0,,0
