"登陆页面类型","登陆页面路径","在线商店访客","访问","有商品添加到购物车的访问","到达结账页面的访问","完成结账的访问","转化率","页面浏览量","结账转化率","添加至购物车率","到达结账页面率","到达并完成结账的访问","平均访问持续时间","每次访问的页面浏览量","跳出率","完成结账率","跳出次数","Online store visitors (previous_period)","Sessions (previous_period)","Sessions with cart additions (previous_period)","Sessions that reached checkout (previous_period)","Sessions that completed checkout (previous_period)","Conversion rate (previous_period)","Pageviews (previous_period)","Checkout conversion rate (previous_period)","Added to cart rate (previous_period)","Reached checkout rate (previous_period)","Sessions that reached and completed checkout (previous_period)","Average session duration (previous_period)","Pageviews per session (previous_period)","Bounce rate (previous_period)","Completed checkout rate (previous_period)","Bounces (previous_period)","Online store visitors (previous_period) ","Sessions (previous_period) ","Sessions with cart additions (previous_period) ","Sessions that reached checkout (previous_period) ","Sessions that completed checkout (previous_period) ","Conversion rate (previous_period) ","Pageviews (previous_period) ","Checkout conversion rate (previous_period) ","Added to cart rate (previous_period) ","Reached checkout rate (previous_period) ","Sessions that reached and completed checkout (previous_period) ","Average session duration (previous_period) ","Pageviews per session (previous_period) ","Bounce rate (previous_period) ","Completed checkout rate (previous_period) ","Bounces (previous_period) "
"Collection","/collections/celebrity-sex-dolls",468,476,0,0,0,0,1724,,0,0,0,154.81302521008402,3.6218487394957983,0.39285714285714285,,187,416,422,0,0,0,0,1327,,0,0,0,109.09241706161137,3.1445497630331753,0.5023696682464455,,212,12.5,12.796208530805687,,,,,29.91710625470987,,,,,41.90997814509081,15.17861100732682,-21.79919137466307,,-11.79245283018868
"Collection","/collections/vajankle-foot-fetish-toys",448,456,3,1,0,0,1104,0,0.006578947368421052,0.0021929824561403508,0,81.03070175438596,2.4210526315789473,0.6293859649122807,0,287,516,527,1,1,0,0,1443,0,0.0018975332068311196,0.0018975332068311196,0,91.71726755218216,2.7381404174573056,0.6148007590132827,0,324,-13.178294573643411,-13.472485768500949,200,0,,,-23.492723492723492,,246.71052631578942,15.570175438596483,,-11.651639961598429,-11.580406317248428,2.3723467619666554,,-11.419753086419753
"Blog Article","/blogs/featured-blog/how-to-diy-an-sex-doll-you",392,401,1,1,0,0,511,0,0.0024937655860349127,0.0024937655860349127,0,25.38653366583541,1.2743142144638404,0.9077306733167082,0,364,335,338,0,0,0,0,415,,0,0,0,18.9792899408284,1.227810650887574,0.878698224852071,,297,17.01492537313433,18.63905325443787,,,,,23.132530120481928,,,,,33.75913295483039,3.7875191539224287,3.3040294885681334,,22.55892255892256
"Collection","/collections/femboys-sex-doll",350,358,0,0,0,0,1244,,0,0,0,99.39664804469274,3.474860335195531,0.4441340782122905,,159,378,384,2,0,0,0,1343,,0.005208333333333333,0,0,137.75260416666666,3.4973958333333335,0.46875,,180,-7.407407407407407,-6.770833333333333,-100,,,,-7.371556217423678,,-99.99999999999999,,,-27.844087851556772,-0.644350803046625,-5.251396648044692,,-11.666666666666666
"Collection","/collections/furry-sex-doll",300,313,1,0,0,0,799,,0.003194888178913738,0,0,87.78913738019169,2.5527156549520766,0.597444089456869,,187,314,320,0,0,0,0,822,,0,0,0,100.28125,2.56875,0.546875,,175,-4.45859872611465,-2.1875,,,,,-2.798053527980535,,,,,-12.457077090491303,-0.6242080797245138,9.24691921497033,,6.857142857142857
"Collection","/collections/black-sex-dolls",234,247,0,0,0,0,872,,0,0,0,205.5668016194332,3.5303643724696356,0.39271255060728744,,97,198,209,1,0,0,0,750,,0.004784688995215311,0,0,177.42583732057417,3.588516746411483,0.41148325358851673,,86,18.181818181818183,18.181818181818183,-100,,,,16.266666666666666,,-100,,,15.86069127463873,-1.620512820512816,-4.561717352415026,,12.790697674418604
"Collection","/collections/sex-doll-torso-dildo-for-woman",235,242,6,2,2,0.008264462809917356,769,1,0.024793388429752067,0.008264462809917356,2,132.3512396694215,3.177685950413223,0.5041322314049587,1,122,209,213,4,3,0,0,727,0,0.018779342723004695,0.014084507042253521,0,144.60093896713616,3.4131455399061035,0.4507042253521127,0,96,12.440191387559809,13.615023474178404,50,-33.333333333333336,,,5.777166437414031,,32.02479338842976,-41.32231404958677,,-8.471382955887092,-6.89860970591245,11.854338842975201,,27.083333333333332
"Collection","/collections/fake-pussy-fake-vagina-sex-toys",219,224,2,1,1,0.004464285714285714,614,1,0.008928571428571428,0.004464285714285714,1,90.94196428571429,2.7410714285714284,0.5714285714285714,1,128,237,242,8,6,0,0,726,0,0.03305785123966942,0.024793388429752067,0,99.46280991735537,3,0.5247933884297521,0,127,-7.594936708860759,-7.43801652892562,-75,-83.33333333333333,,,-15.426997245179063,,-72.99107142857143,-81.99404761904763,,-8.566865986111928,-8.630952380952387,8.88638920134982,,0.7874015748031497
"Collection","/collections/boob-job-sex-toys",210,216,2,0,0,0,579,,0.009259259259259259,0,0,101.07407407407408,2.6805555555555554,0.5601851851851852,,121,214,220,1,0,0,0,556,,0.004545454545454545,0,0,99.26363636363637,2.5272727272727273,0.6227272727272727,,137,-1.8691588785046729,-1.8181818181818181,100,,,,4.136690647482014,,103.7037037037037,,,1.8238680112478083,6.065147881694633,-10.04325493376587,,-11.678832116788321
"Collection","/collections/sex-doll-torso",175,185,6,3,1,0.005405405405405406,738,0.3333333333333333,0.032432432432432434,0.016216216216216217,1,196.16216216216216,3.9891891891891893,0.43243243243243246,0.5,80,121,125,2,1,0,0,569,0,0.016,0.008,0,348.52,4.552,0.432,0,54,44.62809917355372,48,200,200,,,29.701230228471,,102.70270270270271,102.70270270270271,,-43.71566562545559,-12.364033629411475,0.1001001001001068,,48.148148148148145
