"登陆页面类型","登陆页面路径","在线商店访客","访问","有商品添加到购物车的访问","到达结账页面的访问","完成结账的访问","转化率","页面浏览量","结账转化率","添加至购物车率","到达结账页面率","到达并完成结账的访问","平均访问持续时间","每次访问的页面浏览量","跳出率","完成结账率","跳出次数","Online store visitors (previous_period)","Sessions (previous_period)","Sessions with cart additions (previous_period)","Sessions that reached checkout (previous_period)","Sessions that completed checkout (previous_period)","Conversion rate (previous_period)","Pageviews (previous_period)","Checkout conversion rate (previous_period)","Added to cart rate (previous_period)","Reached checkout rate (previous_period)","Sessions that reached and completed checkout (previous_period)","Average session duration (previous_period)","Pageviews per session (previous_period)","Bounce rate (previous_period)","Completed checkout rate (previous_period)","Bounces (previous_period)","Online store visitors (previous_period) ","Sessions (previous_period) ","Sessions with cart additions (previous_period) ","Sessions that reached checkout (previous_period) ","Sessions that completed checkout (previous_period) ","Conversion rate (previous_period) ","Pageviews (previous_period) ","Checkout conversion rate (previous_period) ","Added to cart rate (previous_period) ","Reached checkout rate (previous_period) ","Sessions that reached and completed checkout (previous_period) ","Average session duration (previous_period) ","Pageviews per session (previous_period) ","Bounce rate (previous_period) ","Completed checkout rate (previous_period) ","Bounces (previous_period) "
"Collection","/collections/full-doll",1060,1102,17,7,0,0,6203,0,0.015426497277676952,0.006352087114337568,0,240.5771324863884,5.628856624319419,0.3393829401088929,0,374,910,940,11,7,0,0,4662,0,0.011702127659574468,0.007446808510638298,0,210.7223404255319,4.959574468085107,0.3606382978723404,0,339,16.483516483516482,17.23404255319149,54.54545454545455,0,,,33.05448305448306,,31.826431281966684,-14.7005444646098,,14.16783431721944,13.494749610902055,-5.893816017003143,,10.32448377581121
"Homepage","/",919,1001,28,11,2,0.001998001998001998,5797,0.18181818181818182,0.027972027972027972,0.01098901098901099,2,275.76723276723277,5.791208791208791,0.2987012987012987,0.18181818181818182,299,755,815,16,5,0,0,4973,0,0.0196319018404908,0.006134969325153374,0,297.3484662576687,6.101840490797546,0.3595092024539877,0,293,21.721854304635762,22.822085889570552,75,120,,,16.569475165895838,,42.48251748251747,79.12087912087914,,-7.257892990688777,-5.09078695284205,-16.914143876601212,,2.04778156996587
"Custom Page","/pages/sex-doll-videos",951,965,2,0,0,0,1890,,0.002072538860103627,0,0,68.82072538860103,1.9585492227979275,0.7968911917098446,,769,1219,1255,1,0,0,0,2214,,0.0007968127490039841,0,0,72.44780876494023,1.7641434262948208,0.80398406374502,,1009,-21.985233798195242,-23.10756972111554,100,,,,-14.634146341463415,,160.10362694300514,,,-5.006477681205536,11.01984076835587,-0.8822155009063543,,-23.785926660059467
"Collection","/collections/bbw-sex-doll-torso",739,790,5,1,0,0,3669,0,0.006329113924050633,0.0012658227848101266,0,228.80886075949368,4.644303797468354,0.3468354430379747,0,274,687,738,12,4,0,0,3699,0,0.016260162601626018,0.005420054200542005,0,234.1680216802168,5.012195121951219,0.33875338753387535,0,250,7.569141193595342,7.046070460704607,-58.333333333333336,-75,,,-0.8110300081103001,,-61.07594936708862,-76.64556962025317,,-2.288596402817834,-7.3399242354245535,2.385822784810128,,9.6
"Collection","/collections/robotic-sex-doll",734,757,4,1,0,0,2754,0,0.005284015852047556,0.001321003963011889,0,157.32628797886395,3.6380449141347424,0.48745046235138706,0,369,624,640,4,2,0,0,2004,0,0.00625,0.003125,0,138.7171875,3.13125,0.5,0,320,17.628205128205128,18.28125,0,-50,,,37.4251497005988,,-15.455746367239106,-57.72787318361955,,13.415136807660517,16.1850671180756,-2.509907529722588,,15.3125
"Collection","/collections/anime-sex-doll",611,628,5,1,0,0,2640,0,0.007961783439490446,0.0015923566878980893,0,156.68789808917197,4.203821656050955,0.49363057324840764,0,310,764,775,5,1,0,0,2872,0,0.0064516129032258064,0.0012903225806451613,0,133.2258064516129,3.705806451612903,0.49806451612903224,0,386,-20.026178010471206,-18.967741935483872,0,0,,,-8.07799442896936,,23.40764331210191,23.407643312101918,,17.610770962816737,13.438780760427946,-0.8902346457212599,,-19.689119170984455
"Collection","/collections/sex-doll-head",594,611,8,5,0,0,3091,0,0.01309328968903437,0.008183306055646482,0,191.4353518821604,5.058919803600655,0.29132569558101473,0,178,507,519,11,3,0,0,2758,0,0.02119460500963391,0.005780346820809248,0,225.88824662813101,5.3140655105973025,0.28901734104046245,0,150,17.159763313609467,17.726396917148364,-27.272727272727273,66.66666666666667,,,12.073966642494561,,-38.22347864901055,41.571194762684144,,-15.25218565385952,-4.801327843773028,0.7986906710310895,,18.666666666666668
"Collection","/collections/all",548,565,6,3,0,0,2605,0,0.010619469026548672,0.005309734513274336,0,193.96991150442477,4.610619469026549,0.3752212389380531,0,212,480,489,7,2,0,0,2116,0,0.014314928425357873,0.00408997955010225,0,179.67484662576686,4.32719836400818,0.36400817995910023,0,178,14.166666666666666,15.541922290388548,-14.285714285714286,50,,,23.109640831758036,,-25.815423514538562,29.82300884955751,,7.956074624308531,6.549759941114478,3.080441483543791,,19.10112359550562
"Collection","/collections/vajankle-foot-fetish-toys",516,527,1,1,0,0,1443,0,0.0018975332068311196,0.0018975332068311196,0,91.71726755218216,2.7381404174573056,0.6148007590132827,0,324,470,482,1,0,0,0,1298,,0.002074688796680498,0,0,90.51244813278008,2.6929460580912865,0.6244813278008299,,301,9.787234042553191,9.336099585062241,0,,,,11.171032357473035,,-8.538899430740036,,,1.3311090841721986,1.6782497083529442,-1.5501774603314777,,7.641196013289036
"Collection","/collections/fake-ass-sex-toy",503,520,3,3,0,0,1920,0,0.0057692307692307696,0.0057692307692307696,0,174.14038461538462,3.6923076923076925,0.4326923076923077,0,225,490,520,12,10,0,0,1885,0,0.023076923076923078,0.019230769230769232,0,161.3403846153846,3.625,0.425,0,221,2.6530612244897958,0,-75,-70,,,1.856763925729443,,-75,-70,,7.933537551998291,1.8567639257294486,1.8099547511312284,,1.8099547511312217
