"Landing page type","Landing page path","Online store visitors","Sessions","Sessions with cart additions","Sessions that reached checkout","Sessions that completed checkout","Conversion rate","Pageviews","Checkout conversion rate","Added to cart rate","Reached checkout rate","Sessions that reached and completed checkout","Average session duration","Pageviews per session","Bounce rate","Completed checkout rate","Bounces","Online store visitors (20260511)","Sessions (20260511)","Sessions with cart additions (20260511)","Sessions that reached checkout (20260511)","Sessions that completed checkout (20260511)","Conversion rate (20260511)","Pageviews (20260511)","Checkout conversion rate (20260511)","Added to cart rate (20260511)","Reached checkout rate (20260511)","Sessions that reached and completed checkout (20260511)","Average session duration (20260511)","Pageviews per session (20260511)","Bounce rate (20260511)","Completed checkout rate (20260511)","Bounces (20260511)","Online store visitors (20260511) ","Sessions (20260511) ","Sessions with cart additions (20260511) ","Sessions that reached checkout (20260511) ","Sessions that completed checkout (20260511) ","Conversion rate (20260511) ","Pageviews (20260511) ","Checkout conversion rate (20260511) ","Added to cart rate (20260511) ","Reached checkout rate (20260511) ","Sessions that reached and completed checkout (20260511) ","Average session duration (20260511) ","Pageviews per session (20260511) ","Bounce rate (20260511) ","Completed checkout rate (20260511) ","Bounces (20260511) "
"Blog Article","/blogs/featured-blog/how-to-make-fake-pussy",290,292,0,0,0,0,347,,0,0,0,23.931506849315067,1.1883561643835616,0.8835616438356164,,258,290,292,0,0,0,0,347,,0,0,0,23.931506849315067,1.1883561643835616,0.8835616438356164,,258,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/sex-doll-torso-dildo-for-woman",254,263,4,3,1,0.0038022813688212928,871,0.3333333333333333,0.015209125475285171,0.011406844106463879,1,149.49809885931558,3.311787072243346,0.49429657794676807,0.3333333333333333,130,254,263,4,3,1,0.0038022813688212928,871,0.3333333333333333,0.015209125475285171,0.011406844106463879,1,149.49809885931558,3.311787072243346,0.49429657794676807,0.3333333333333333,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collection","/collections/sex-doll-torso",217,226,3,2,2,0.008849557522123894,1236,1,0.01327433628318584,0.008849557522123894,2,264.7787610619469,5.469026548672566,0.3893805309734513,1,88,217,226,3,2,2,0.008849557522123894,1236,1,0.01327433628318584,0.008849557522123894,2,264.7787610619469,5.469026548672566,0.3893805309734513,1,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collection","/collections/boob-job-sex-toys",219,221,2,2,0,0,678,0,0.00904977375565611,0.00904977375565611,0,116.30316742081448,3.067873303167421,0.5927601809954751,0,131,219,221,2,2,0,0,678,0,0.00904977375565611,0.00904977375565611,0,116.30316742081448,3.067873303167421,0.5927601809954751,0,131,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/fake-pussy-fake-vagina-sex-toys",200,211,5,1,0,0,755,0,0.023696682464454975,0.004739336492890996,0,151.5781990521327,3.5781990521327014,0.5023696682464455,0,106,200,211,5,1,0,0,755,0,0.023696682464454975,0.004739336492890996,0,151.5781990521327,3.5781990521327014,0.5023696682464455,0,106,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/black-sex-dolls",184,189,0,0,0,0,760,,0,0,0,203.93650793650792,4.021164021164021,0.3915343915343915,,74,184,189,0,0,0,0,760,,0,0,0,203.93650793650792,4.021164021164021,0.3915343915343915,,74,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/black-torso-sex-dolls",155,162,2,1,0,0,660,0,0.012345679012345678,0.006172839506172839,0,183.6172839506173,4.074074074074074,0.5308641975308642,0,86,155,162,2,1,0,0,660,0,0.012345679012345678,0.006172839506172839,0,183.6172839506173,4.074074074074074,0.5308641975308642,0,86,0,0,0,0,,,0,,0,0,,0,0,0,,0
,"/de/collections/robotic-sex-doll",160,160,0,0,0,0,378,,0,0,0,84.84375,2.3625,0.58125,,93,160,160,0,0,0,0,378,,0,0,0,84.84375,2.3625,0.58125,,93,0,0,,,,,0,,,,,0,0,0,,0
"Blog Article","/blogs/dolls-info-qustions/how-to-make-a-fake-ass-sex-toy",156,156,0,0,0,0,188,,0,0,0,26.064102564102566,1.205128205128205,0.8974358974358975,,140,156,156,0,0,0,0,188,,0,0,0,26.064102564102566,1.205128205128205,0.8974358974358975,,140,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/huge-breasts-sex-dolls",143,149,1,1,0,0,680,0,0.006711409395973154,0.006711409395973154,0,205.78523489932886,4.563758389261745,0.48322147651006714,0,72,143,149,1,1,0,0,680,0,0.006711409395973154,0.006711409395973154,0,205.78523489932886,4.563758389261745,0.48322147651006714,0,72,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/futa-sex-doll",139,146,1,0,0,0,477,,0.00684931506849315,0,0,133.75342465753425,3.267123287671233,0.4589041095890411,,67,139,146,1,0,0,0,477,,0.00684931506849315,0,0,133.75342465753425,3.267123287671233,0.4589041095890411,,67,0,0,0,,,,0,,0,,,0,0,0,,0
"Collection","/collections/flat-chest-sex-doll",136,143,0,0,0,0,447,,0,0,0,145.27972027972027,3.125874125874126,0.5454545454545454,,78,136,143,0,0,0,0,447,,0,0,0,145.27972027972027,3.125874125874126,0.5454545454545454,,78,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/under-100",135,137,1,1,1,0.0072992700729927005,291,1,0.0072992700729927005,0.0072992700729927005,1,67.86131386861314,2.124087591240876,0.6934306569343066,1,95,135,137,1,1,1,0.0072992700729927005,291,1,0.0072992700729927005,0.0072992700729927005,1,67.86131386861314,2.124087591240876,0.6934306569343066,1,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collection","/collections/shemale-sex-toy",133,134,1,0,0,0,294,,0.007462686567164179,0,0,116.65671641791045,2.1940298507462686,0.7164179104477612,,96,133,134,1,0,0,0,294,,0.007462686567164179,0,0,116.65671641791045,2.1940298507462686,0.7164179104477612,,96,0,0,0,,,,0,,0,,,0,0,0,,0
"Collection","/collections/anime-mini-sex-doll",119,126,0,0,0,0,287,,0,0,0,88.85714285714286,2.2777777777777777,0.6587301587301587,,83,119,126,0,0,0,0,287,,0,0,0,88.85714285714286,2.2777777777777777,0.6587301587301587,,83,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/anime-pocket-pussy",117,119,0,0,0,0,304,,0,0,0,85.61344537815125,2.5546218487394956,0.6386554621848739,,76,117,119,0,0,0,0,304,,0,0,0,85.61344537815125,2.5546218487394956,0.6386554621848739,,76,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/life-size-anime-sex-doll",99,103,0,0,0,0,349,,0,0,0,121.00970873786407,3.3883495145631066,0.5048543689320388,,52,99,103,0,0,0,0,349,,0,0,0,121.00970873786407,3.3883495145631066,0.5048543689320388,,52,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/silicone-ass",97,99,0,0,0,0,358,,0,0,0,182.32323232323233,3.6161616161616164,0.5050505050505051,,50,97,99,0,0,0,0,358,,0,0,0,182.32323232323233,3.6161616161616164,0.5050505050505051,,50,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/18s-sex-doll",96,96,0,0,0,0,228,,0,0,0,162.79166666666666,2.375,0.6145833333333334,,59,96,96,0,0,0,0,228,,0,0,0,162.79166666666666,2.375,0.6145833333333334,,59,0,0,,,,,0,,,,,0,0,0,,0
"Custom Page","/pages/sex-doll-gif",91,95,0,0,0,0,435,,0,0,0,147.03157894736842,4.578947368421052,0.7263157894736842,,69,91,95,0,0,0,0,435,,0,0,0,147.03157894736842,4.578947368421052,0.7263157894736842,,69,0,0,,,,,0,,,,,0,0,0,,0
"Blog Article","/blogs/sex-doll-torso-blog/top-7-sex-poses-with-your-torso-sex-doll",86,87,0,0,0,0,142,,0,0,0,55.367816091954026,1.632183908045977,0.7931034482758621,,69,86,87,0,0,0,0,142,,0,0,0,55.367816091954026,1.632183908045977,0.7931034482758621,,69,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/sex-doll-videos",82,86,0,0,0,0,193,,0,0,0,114.37209302325581,2.244186046511628,0.7209302325581395,,62,82,86,0,0,0,0,193,,0,0,0,114.37209302325581,2.244186046511628,0.7209302325581395,,62,0,0,,,,,0,,,,,0,0,0,,0
