# ----------------------------------------
# 电子商务购买: 商品名称
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260309
# 结束日期：20260315
商品名称,查看过的商品数,加入购物车的商品数,已购买的商品数,商品收入,跳出率,活跃用户,结账的商品数
T346-24.46 lbs Huge Breast Hentai TPE BBW Sex Doll Torso | MRL,37,1,0,0,0,32,3
F2421-168cm M Cup 7.1inch Dildo Futan Musculature Trans Bbw Silicone full body sex dolls Futa Sex Do,36,0,0,0,0,22,0
L425(48.5lb/117cm) Silicone Leg and Foot Worship Model for Femdom and Trampling Roleplay | Judy Rona,36,2,1,6176.326835,0,11,3
F6146-161cm(5ft3)-29kg A Cup Sex Dolls Flat Chested with Silicone Head - Irontech Doll,35,0,0,0,0,24,0
T267-17.6lbs Realistic Adult Black Ebony Best Cheap Male Sex Toys|QSX,35,0,0,0,0,32,0
A682-(19lb)Best Sucking&Vibration Ass Sex Doll With Torso For Men realistic sex bot,34,0,0,0,0,34,0
F2422-168cm M Cup 7.1inch Dildo futanari Shemale Silicone SSBBW Huge Cock Trans Sex Doll｜Doll Castle,34,0,0,0,0.030303030303030304,32,0
F2465-163cm(5.3ft)-40kg C Cup Amani Natural Realistic Silicone Head ai sex dolls Porn Star Sex Doll【,34,1,0,0,0,30,1
T444-37.48LB 8.26inch  Realistic Shemale Sex Doll with Huge Dildo Silicone Sex Doll Torso | LoveNest,34,0,0,0,0.03125,32,0
T531(12.1lb/53cm) 6.7inch Dildo Trans Woman Femboy Toy Masturbator Shemale Lesbian Huge Cock Trans S,34,0,0,0,0.03333333333333333,29,0
A351-7.7LB-Silicone Deer Ass Furry Sex Doll Torso | MRL,33,0,0,0,0.06060606060606061,32,0
T289 - 79.37 lbs Lydia ROS Life Size Silicone sex doll bbw Torso with Head [In Stock USA& Europe] | ,33,0,0,0,0,31,0
F1444-163cm(5f3)-52kg  E Cup  Wheat Skin Realistic Soft TPE BBW Full Size Sex Dolls 【IN Stock USA/EU,32,0,0,0,0,30,0
F2233-150cm/4ft9 A Cup Small Flat Chested TPE Best Affordable Sex Doll   [IN STOCK USA]|SY Doll,32,0,0,0,0.15384615384615385,23,0
F4598-155cm(5ft1)-35kg Busty Koharu I Cup S-TPE Animes Hentai Sex Doll | IROKEBIJIN Doll,32,0,0,0,0,31,0
F9113-21kg C Cup ROS Rabbit Police Officer Anime Best Animal Hentai Furry Sex Doll｜Doll Castle,32,0,0,0,0,31,0
F9194-155cm 47.5kg M Cup Goat Mommy Anime Lifelike Furries Silicone Hentai ssbbw sex doll｜Doll Castl,32,0,0,0,0,25,0
T902(21.49lb) D Cup 3inch Dildo Electric Femboy Trans Rechargeable Male Shemale Sex Doll Torso,32,2,0,0,0.06666666666666667,30,0
A295 - 26.9 lbs Real Realistic Big Butt Sexy Ass silicone sex doll torso | Judy Rona,31,0,0,0,0,29,0
A683-(24lb)Sexy And Real Realistic Ass Female Torso Sex Doll,31,2,0,0,0.038461538461538464,20,0
F2464-163cm(5.3ft)-40kg C Cup Amani Dark Realistic Silicone Head Look Alike Sex Dolls sex with sexua,31,0,0,0,0,24,0
F5710-158cm/5ft2-36kg G Cup Siliconeest Realistic Life Size Shemale Sex Doll Futanari Sex Doll｜Doll ,31,0,0,0,0.03333333333333333,29,0
H111 Big Lips TPE Oral Blowjob Sex Doll Head 丨WM Doll Head,31,2,0,0,0,24,0
T908K - 94.8 lbs Ebony TPE SSBBW Torso chubby sex doll | Large Breasts for Realistic Play【In Stock U,31,0,0,0,0,28,0
A555-32lbs BBW Realistic Doggystyle Sex Doll Torso Ass with Robot Vibrating Heating Sucking Rotating,30,0,0,0,0.038461538461538464,25,0
H1031  Silicone Blowjob Sex Doll Head丨Aibei Doll Head,30,0,0,0,0,26,0
H166 ROS-MAX Silicone Sex Doll Head| Real Lady Doll,30,2,0,0,0.1111111111111111,24,0
P101-2.83LB Silicone pocket pussy dildo Mini Hentai realistic male sex doll | TAYUTA,30,0,0,0,0,24,0
T591-(24lb/60cm) Luxury Silicone Sex Doll Torso Lifelike Simulated Skin Textures| Gel Breasts - NO T,30,1,0,0,0.05263157894736842,17,0
T665-32lbs/76cm Luxury Life-Size Super Realistic Silicone Female Real Best Robot Sex Doll Torso,30,0,0,0,0.11538461538461539,19,0
B38-17.1lb/Full Bust: 36.2inch-Cinnamon silicone sex doll torso Titjob  Boob Job Breast Sex Titty Fu,29,0,0,0,0.2,22,0
B439-15.96LB Muse III Ultra-Soft Silicone life size sex doll torso BBW Huge Breast Sex Toys| LoveNes,29,0,0,0,0.03571428571428571,23,0
F1871K-159cm-37kg A Cup Alice Cosplay Realistic Hot TPE Animated Japanese Sex Doll｜Fun West Doll,29,0,0,0,0,28,0
F4400- 170cm(5.6ft)-41kg H Cup Femboy Toy Masturbator Shemale Lesbian Trans Tpe Sex Doll丨Wm Doll,29,0,0,0,0.03571428571428571,27,0
H442 ROS Free Hair Impants Real Oral Movable Jaw Blowjob Silicone Sex Doll Head | SY Doll,29,1,0,0,0,26,1
T345 - 57.3 lbs 58# Black-STPE ssbbw sex doll Torso [IN Stock US/EU] | Climax Doll Classic - USA,29,0,0,0,0.04,22,0
T507V- (70.54lb) LifeSize Vibrating & Sucking Best Robot Sex Doll Torso ｜Luxury Sexiest Stripper Plu,29,0,0,0,0.22727272727272727,21,0
