"登陆页面类型","登陆页面路径","在线商店访客","访问","有商品添加到购物车的访问","到达结账页面的访问","完成结账的访问","转化率","页面浏览量","结账转化率","添加至购物车率","到达结账页面率","到达并完成结账的访问","平均访问持续时间","每次访问的页面浏览量","跳出率","完成结账率","跳出次数","Online store visitors (previous_period)","Sessions (previous_period)","Sessions with cart additions (previous_period)","Sessions that reached checkout (previous_period)","Sessions that completed checkout (previous_period)","Conversion rate (previous_period)","Pageviews (previous_period)","Checkout conversion rate (previous_period)","Added to cart rate (previous_period)","Reached checkout rate (previous_period)","Sessions that reached and completed checkout (previous_period)","Average session duration (previous_period)","Pageviews per session (previous_period)","Bounce rate (previous_period)","Completed checkout rate (previous_period)","Bounces (previous_period)","Online store visitors (previous_period) ","Sessions (previous_period) ","Sessions with cart additions (previous_period) ","Sessions that reached checkout (previous_period) ","Sessions that completed checkout (previous_period) ","Conversion rate (previous_period) ","Pageviews (previous_period) ","Checkout conversion rate (previous_period) ","Added to cart rate (previous_period) ","Reached checkout rate (previous_period) ","Sessions that reached and completed checkout (previous_period) ","Average session duration (previous_period) ","Pageviews per session (previous_period) ","Bounce rate (previous_period) ","Completed checkout rate (previous_period) ","Bounces (previous_period) "
"Custom Page","/pages/sex-doll-videos",1219,1255,1,0,0,0,2214,,0.0007968127490039841,0,0,72.44780876494023,1.7641434262948208,0.80398406374502,,1009,1082,1114,0,1,0,0,1858,0,0,0.0008976660682226212,0,62.08886894075404,1.6678635547576302,0.7908438061041293,,881,12.66173752310536,12.657091561938959,,-100,,,19.16038751345533,,,-100,,16.684053037060192,5.772646764931667,1.6615490365439498,,14.52894438138479
"Collection","/collections/full-doll",910,940,11,7,0,0,4662,0,0.011702127659574468,0.007446808510638298,0,210.7223404255319,4.959574468085107,0.3606382978723404,0,339,928,956,10,5,0,0,4590,0,0.010460251046025104,0.005230125523012552,0,206.71757322175733,4.801255230125523,0.36506276150627615,0,349,-1.9396551724137931,-1.6736401673640167,10,40,,,1.5686274509803921,,11.872340425531915,42.382978723404264,,1.9373133794863402,3.2974551522736726,-1.211973419496434,,-2.865329512893983
"Blog Article","/blogs/dolls-info-qustions/how-to-make-fake-pussy",840,848,1,1,0,0,1807,0,0.0011792452830188679,0.0011792452830188679,0,63.28655660377358,2.130896226415094,0.7004716981132075,0,594,1086,1096,0,0,0,0,1377,,0,0,0,22.704379562043794,1.2563868613138687,0.9032846715328468,,990,-22.65193370165746,-22.62773722627737,,,,,31.22730573710966,,,,,178.7416252922997,69.60510269796247,-22.452830188679247,,-40
"Homepage","/",755,815,16,5,0,0,4973,0,0.0196319018404908,0.006134969325153374,0,297.3484662576687,6.101840490797546,0.3595092024539877,0,293,863,925,21,11,2,0.002162162162162162,5144,0.18181818181818182,0.022702702702702703,0.011891891891891892,1,275.4010810810811,5.561081081081081,0.33945945945945943,0.1,314,-12.514484356894554,-11.891891891891891,-23.80952380952381,-54.54545454545455,-100,-100,-3.324261275272162,-100,-13.526146654981007,-48.41048522030117,-100,7.969244380026981,9.72399793910828,5.906373334375369,-100,-6.687898089171974
"Collection","/collections/anime-sex-doll",764,775,5,1,0,0,2872,0,0.0064516129032258064,0.0012903225806451613,0,133.2258064516129,3.705806451612903,0.49806451612903224,0,386,758,792,11,2,0,0,3169,0,0.013888888888888888,0.0025252525252525255,0,141.2310606060606,4.001262626262626,0.4633838383838384,0,367,0.7915567282321899,-2.1464646464646466,-54.54545454545455,-50,,,-9.37204165351846,,-53.54838709677419,-48.903225806451616,,-5.668196585152722,-7.384073534950485,7.4842225542761645,,5.177111716621253
"Collection","/collections/bbw-sex-doll-torso",687,738,12,4,0,0,3699,0,0.016260162601626018,0.005420054200542005,0,234.1680216802168,5.012195121951219,0.33875338753387535,0,250,714,752,9,2,0,0,3878,0,0.011968085106382979,0.0026595744680851063,0,263.6436170212766,5.156914893617022,0.324468085106383,0,244,-3.7815126050420167,-1.8617021276595744,33.333333333333336,100,,,-4.615781330582775,,35.86269196025295,103.79403794037941,,-11.180090636778457,-2.8063246078567192,4.4026833710960105,,2.459016393442623
"Collection","/collections/robotic-sex-doll",624,640,4,2,0,0,2004,0,0.00625,0.003125,0,138.7171875,3.13125,0.5,0,320,712,733,6,0,0,0,2486,,0.008185538881309686,0,0,157.0068212824011,3.3915416098226467,0.5102319236016372,,374,-12.359550561797754,-12.687585266030014,-33.333333333333336,,,,-19.388576025744168,,-23.645833333333325,,,-11.648942149783643,-7.674728479485116,-2.005347593582898,,-14.438502673796792
"Collection","/collections/fake-ass-sex-toy",490,520,12,10,0,0,1885,0,0.023076923076923078,0.019230769230769232,0,161.3403846153846,3.625,0.425,0,221,407,427,4,1,0,0,1792,0,0.00936768149882904,0.00234192037470726,0,169.13817330210773,4.19672131147541,0.41217798594847777,0,176,20.393120393120395,21.779859484777518,200,900,,,5.189732142857143,,146.34615384615387,721.1538461538463,,-4.610306789109653,-13.623046875000005,3.1107954545454484,,25.568181818181817
"Collection","/collections/sex-doll-head",507,519,11,3,0,0,2758,0,0.02119460500963391,0.005780346820809248,0,225.88824662813101,5.3140655105973025,0.28901734104046245,0,150,643,663,16,10,1,0.0015082956259426848,3211,0.1,0.024132730015082957,0.015082956259426848,1,230.86274509803923,4.8431372549019605,0.3031674208144796,0.1,201,-21.15085536547434,-21.71945701357466,-31.25,-70,-100,-100.00000000000001,-14.107754593584554,-100,-12.174855491329488,-61.67630057803469,-100,-2.1547428398617194,9.723619854438237,-4.667414373220588,-100,-25.37313432835821
"Collection","/collections/shemale-sex-doll-torso-1",490,498,6,0,0,0,1821,,0.012048192771084338,0,0,142.7570281124498,3.6566265060240966,0.42570281124497994,,212,430,441,2,0,0,0,1578,,0.0045351473922902496,0,0,158.13151927437642,3.578231292517007,0.40589569160997735,,179,13.953488372093023,12.92517006802721,200,,,,15.399239543726235,,165.66265060240966,,,-9.722597514066818,2.190892848962395,4.879854613986671,,18.435754189944134
