"登陆页面类型","登陆页面路径","在线商店访客","访问","有商品添加到购物车的访问","到达结账页面的访问","完成结账的访问","转化率","页面浏览量","结账转化率","添加至购物车率","到达结账页面率","到达并完成结账的访问","平均访问持续时间","每次访问的页面浏览量","跳出率","完成结账率","跳出次数","Online store visitors (previous_week)","Sessions (previous_week)","Sessions with cart additions (previous_week)","Sessions that reached checkout (previous_week)","Sessions that completed checkout (previous_week)","Conversion rate (previous_week)","Pageviews (previous_week)","Checkout conversion rate (previous_week)","Added to cart rate (previous_week)","Reached checkout rate (previous_week)","Sessions that reached and completed checkout (previous_week)","Average session duration (previous_week)","Pageviews per session (previous_week)","Bounce rate (previous_week)","Completed checkout rate (previous_week)","Bounces (previous_week)","Online store visitors (previous_week) ","Sessions (previous_week) ","Sessions with cart additions (previous_week) ","Sessions that reached checkout (previous_week) ","Sessions that completed checkout (previous_week) ","Conversion rate (previous_week) ","Pageviews (previous_week) ","Checkout conversion rate (previous_week) ","Added to cart rate (previous_week) ","Reached checkout rate (previous_week) ","Sessions that reached and completed checkout (previous_week) ","Average session duration (previous_week) ","Pageviews per session (previous_week) ","Bounce rate (previous_week) ","Completed checkout rate (previous_week) ","Bounces (previous_week) "
"Collection","/collections/full-doll",796,824,9,7,1,0.0012135922330097086,4412,0.14285714285714285,0.010922330097087379,0.00849514563106796,1,234.74150485436894,5.354368932038835,0.30097087378640774,0.2,248,995,1038,14,5,0,0,5731,0,0.01348747591522158,0.004816955684007707,0,224.53179190751445,5.521194605009634,0.35645472061657035,0,370,-20,-20.616570327552985,-35.714285714285715,40,,,-23.015180596754494,,-19.018723994452145,76.35922330097088,,4.547112397811317,-3.021550314843652,-15.565468381002374,,-32.972972972972975
"Homepage","/",719,792,23,5,2,0.0025252525252525255,5113,0.4,0.02904040404040404,0.006313131313131313,2,316.4431818181818,6.45580808080808,0.29797979797979796,0.5,236,912,1001,38,21,2,0.001998001998001998,5971,0.09523809523809523,0.03796203796203796,0.02097902097902098,2,317.3326673326673,5.965034965034965,0.26873126873126874,0.05263157894736842,269,-21.162280701754387,-20.87912087912088,-39.473684210526315,-76.19047619047619,0,26.3888888888889,-14.369452353039692,320.00000000000006,-23.50146198830409,-69.90740740740742,0,-0.28030064536439026,8.227497720463719,10.883932259396932,850,-12.267657992565056
"Collection","/collections/sex-doll-videos",640,655,1,0,0,0,1231,,0.0015267175572519084,0,0,50.06106870229008,1.8793893129770993,0.7648854961832061,,501,0,0,0,0,0,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,
"Collection","/collections/anime-sex-doll",585,608,1,1,0,0,2250,0,0.001644736842105263,0.001644736842105263,0,148.06578947368422,3.700657894736842,0.46381578947368424,0,282,690,705,4,2,0,0,2950,0,0.005673758865248227,0.0028368794326241137,0,160.97021276595746,4.184397163120567,0.4524822695035461,0,319,-15.217391304347826,-13.75886524822695,-75,-50,,,-23.728813559322035,,-71.01151315789474,-42.02302631578948,,-8.01665293878664,-11.56054861730598,2.5047434416763,,-11.598746081504702
"Collection","/collections/bbw-sex-doll-torso",563,605,6,3,0,0,3032,0,0.009917355371900827,0.0049586776859504135,0,272.3190082644628,5.011570247933884,0.32066115702479336,0,194,782,835,13,3,0,0,3788,0,0.015568862275449102,0.003592814371257485,0,223.81197604790418,4.536526946107784,0.36047904191616764,0,301,-28.005115089514067,-27.54491017964072,-53.84615384615385,0,,,-19.957761351636748,,-36.30006357279084,38.016528925619845,,21.673117351940228,10.47151945683192,-11.045825210730074,,-35.548172757475086
"Collection","/collections/robotic-sex-doll",541,564,7,2,0,0,1973,0,0.012411347517730497,0.0035460992907801418,0,145.21808510638297,3.49822695035461,0.48226950354609927,0,272,704,721,0,0,0,0,2437,,0,0,0,161.61719833564493,3.38002773925104,0.4868238557558946,,351,-23.15340909090909,-21.7753120665742,,,,,-19.03980303652031,,,,,-10.146886221356496,3.4969893806185435,-0.935523630559098,,-22.507122507122507
"Collection","/collections/all",449,462,4,3,0,0,1966,0,0.008658008658008658,0.006493506493506494,0,171.56277056277057,4.255411255411255,0.3722943722943723,0,172,529,550,6,4,1,0.0018181818181818182,2449,0.25,0.01090909090909091,0.007272727272727273,1,241.1909090909091,4.452727272727273,0.4090909090909091,0.25,225,-15.122873345935728,-16,-33.333333333333336,-25,-100,-100,-19.72233564720294,-100,-20.634920634920643,-10.714285714285708,-100,-28.868475512024567,-4.431351960955891,-8.994708994709002,-100,-23.555555555555557
"Collection","/collections/sex-doll-head",448,461,7,3,0,0,2326,0,0.015184381778741865,0.006507592190889371,0,229.5119305856833,5.045553145336226,0.3080260303687636,0,142,582,598,5,1,0,0,2609,0,0.008361204013377926,0.0016722408026755853,0,195.97993311036788,4.362876254180602,0.3210702341137124,0,192,-23.02405498281787,-22.909698996655518,40,200,,,-10.84706784208509,,81.60520607375271,289.1540130151844,,17.10991372592804,15.647404404410235,-4.062725958062178,,-26.041666666666668
"Collection","/collections/vajankle-foot-fetish-toys",429,439,1,0,0,0,981,,0.002277904328018223,0,0,76.43280182232347,2.234624145785877,0.6264236902050114,,275,448,456,3,1,0,0,1104,0,0.006578947368421052,0.0021929824561403508,0,81.03070175438596,2.4210526315789473,0.6293859649122807,0,287,-4.241071428571429,-3.7280701754385963,-66.66666666666667,-100,,,-11.141304347826088,,-65.37585421412301,-100,,-5.674268928336929,-7.700307021887695,-0.47066106847205375,,-4.181184668989547
"Blog Article","/blogs/featured-blog/how-to-diy-an-sex-doll-you",415,420,0,0,0,0,544,,0,0,0,33.94047619047619,1.2952380952380953,0.8952380952380953,,376,392,401,1,1,0,0,511,0,0.0024937655860349127,0.0024937655860349127,0,25.38653366583541,1.2743142144638404,0.9077306733167082,0,364,5.86734693877551,4.738154613466334,-100,-100,,,6.457925636007828,,-100,-100,,33.69480306857517,1.6419718572360489,-1.3762428048142261,,3.2967032967032965
