# ----------------------------------------
# 购买历程: 设备类别
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260525
# 结束日期：20260531
设备类别,会话开始 活跃用户,查看产品 活跃用户,加入购物车 活跃用户,开始结账 活跃用户,购买 活跃用户
mobile,422,202,9,3,0
desktop,123,62,1,1,0
tablet,14,4,1,0,0
