# ----------------------------------------
# 购买历程: 设备类别
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260302
# 结束日期：20260308
设备类别,会话开始 活跃用户,查看产品 活跃用户,加入购物车 活跃用户,开始结账 活跃用户,购买 活跃用户
mobile,444,241,4,1,0
desktop,83,35,1,0,0
tablet,14,8,0,0,0
smart tv,1,0,0,0,0
